inputs_addresses,outputs_addresses,outputs_value
12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,1DUDsfc23Dv9sPMEk5RsrtfzCw5ofi5sVW,1000000000.0
12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,1LzBzVqEeuQyjD2mRWHes3dgWrT9titxvq,100000000.0
12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,13HtsYzne8xVPdGDnmJX8gHgBZerAfJGEf,100000000.0
12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,1ByLSV2gLRcuqUmfdYcpPQH8Npm8cccsFg,1000000000.0
1DCbY2GYVaAMCBpuBNN5GVg3a47pNK1wdi,1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5,100000000.0
1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5,1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv,100000000.0
1DCbY2GYVaAMCBpuBNN5GVg3a47pNK1wdi,1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5,2400000000.0
1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv,1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv,100000000.0
1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5,1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv,2400000000.0
1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv,1DZTzaBHUDM7T3QvUKBz4qXMRpkg8jsfB5,100000000.0
1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv,1KAD5EnzzLtrSo2Da2G4zzD7uZrjk8zRAv,2400000000.0
12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,1Q2TWHE3GMdB6BZKafqwxXtWAWgFt5Jvm3,1000000000.0
1Jhk2DHosaaZx1E4CbnTGcKM7FC88YHYv9,1DCbY2GYVaAMCBpuBNN5GVg3a47pNK1wdi,2500000000.0
153h6eE6xRhXuN3pE53gWVfXacAtfyBF8g,1LEWwJkDj8xriE87ALzQYcHjTmD8aqDj1f,2500000000.0
13HtsYzne8xVPdGDnmJX8gHgBZerAfJGEf,15NUwyBYrZcnUgTagsm1A7M2yL2GntpuaZ,100000000.0
1LzBzVqEeuQyjD2mRWHes3dgWrT9titxvq,1BDvQZjaAJH4ecZ8aL3fYgTi7rnn3o2thE,100000000.0
1Miuw7ifaTYY5qrzKYFcTDiojSFxRfAqwP,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,10000000000.0
1QNzY4rFXUrigUtbuvPu7wsKvHsDQKv86,18L8V7DaFBjAbzF5rzmZqCym31KAbjDQXC,10000000000.0
132aSc15WmoPwtMbqRVzouZKNnjWL1YTVb,133fZZzNNbHL5VSuCWrUkLW2oL9ZPJELbY,10000000000.0
1CpZmPEGBbH7gUsM1xS31CvaKDE92EiiKg,1C16qVq3kZpfjCXAKvrrppqxNmRcnfbFdu,15000000000.0
1KR2fsrzrU7FeBs8opYJmWwdi4SkgCorff,1C3J4uWTdpc3NoJWsCqdpqEjSViyxRXkF,15000000000.0
12VKdj1La4fnqX7qTQPfPwm9McBxtmtSsG,1EQkvhEsewdmDuvNTSgvYafu79F8Q4B3CW,15000000000.0
18SH9vwx24L5cTabfkgtGMjF8A56pD9AUJ,1BBz9Z15YpELQ4QP5sEKb1SwxkcmPb5TMs,6100000000.0
1DNdPgBZRWjDj1JbVZQEYMv7jvqJF7R4Py,19QKDUJtx9n7Vaga6nX1bVHdsnT4Khfyi6,25000000000.0
1PEsXxy7kVSPL3Sqw9q4HPkbM368tGTYcx,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,27500000000.0
1D1FUseiHmbRPDCRvExrBX3C3BtFxGimMz,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,30000000000.0
1PD7u8S27HS3PcY6ZKAM897RQLK5rx87wq,1FBgZPF9ceV7JFDgvWzwJdPjdn6VFJqc5s,40000000000.0
12V3D1ytYGZgYTgmuNh8JLAiKMF9chUoDd,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,50000000000.0
1xgLCvWYJGuCxqPunbBiUxmSKLDwxZeu5,15oUEZFKAC8E8BTLt1s1jx4fPxumwB3ecr,50000000000.0
1AZBpyYUSWApQkKqsEDZ9mriWCZMArrgzR,1PxeCXMZBuXHt4CqWWEQ7Kwgdyob9P955L,50000000000.0
1MHHjLCcUQvvEpn47yfvL2F2FTTiZmSwt2,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,60000000000.0
1MUKXPFrGZNWeJApikyeK8VoFVTqmDLDHB,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,100000000000.0
1Jy5dQmet2xg1Pk5VYZE2hSWu8StK6aQWZ,17afxUJouat3fkaaQ9tZrDThxdkXGL4WrM,100000000000.0
114Y2Hz7uDHmyK5iKhAzMbPZrHbYnNXqAX,1CG7YVf2msVU8on6zrAUpfoqzD3avUDiWS,5000000000.0
1E5npMTmh9PnBHxCacuqzAZRGEybkxPMAq,1QKJnFPvRoZ7avBhxqwxhsEv62JWYoB1R9,5000000000.0
1L9QnXEtpQ5Ebtq5Vr5BLkiGG66eJXhbrA,1PBVzsGsXQx5Vk5pqSDRyK3DNSBp5GnEZx,1000000.0
12kgdRFz9C8PnCdHsfP34kaBu91WY85Jru,1L9QnXEtpQ5Ebtq5Vr5BLkiGG66eJXhbrA,5000000000.0
1ADFoHFUygqcikt7iMgefVYNBVS7meTo2,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1EAjGbBoeUZRWML4gBiFxnDfKYbUDSjunV,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
1DBdsuT7Fy9dW8H3e7YdfdG6uYiDJSdtyf,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,5000000000.0
1fhREGiuU5XuBJqSdZYqGshBwZbee9uVq,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
13Tv2cPP9ywN9LSUhTKywVXfuRdQbq1H6s,1CGoYyYAQCBuwjQ1ABq8i5SnsbAf4tu8qw,100000000.0
1Bu7UkWdtFVdkvYbJXQxbkbEpt6V3tz9vQ,1FL5RCbqhkoN18ZauyHzS4bVamm4RhezXr,5000000000.0
13Y9xHAcS5jPEkV7MN6JkVH95UVXBTAF58,1637dcMMuUu48tnvVF2DVu3Zf8DHGwrMBv,5000000000.0
18Ypamo34GnRuZWr7SQ8Gk1WPhZRHWA2nD,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
18DAo7XftVvvi9HXpgCY4FAd1V2AT8sL3T,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1EQFDc3LmnfK6jn5BeQAL5Dc6q7vzwGih7,15u9q9Tcf1M72YyW9Ndqt2UKQoDWawUdQd,2500000000.0
14jZSyVGGhrXmufPAxEWS28nRfC6uhfdrD,1BiDsroMqEwDhBmzkKLvCSAddGn8QGmLFf,5000000000.0
1Pj9XCHY6RhwJUdJ7z73b5kLd2pWWMvsUw,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1GSuEmvwns9ubHMHA9hrbj56xjfAzD3iJ4,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
1FcYh9a5sojvkPjpuS4ksTshQRExU7HKJU,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,5000000000.0
1Mvvwo5LYs1K4iZLsav8ECHficv5spHKgY,1Dnvwj3hAGSwFPMnkJZvi3KnaqksRPa74p,3900000000.0
1CDu1uP1SeQUuNztEhbDZPeWKDvq4Vu5Nd,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
188BGntmEmATQ2QMjt3FcPJ8W7DaE6hstV,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
15V6bGYwk7gswgm25g3rWNgVDNHTyAnUzb,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1DUUrvyrLcL73icTK4LhSQ5Gbjc66nx4F2,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
17vLbkXcY4NtnJ36KJcWKHvZJYPtDknqev,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
1J75bduejeHS56xYkW71np2TyxDhUiP7PV,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
1NP86pdMUCvhWweLbwMcWtXqT3pjhrLmQG,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1PvkUikgyMx5VGgdRUj9bPn6NdQNuGexLn,1EHSYLceBGzmEKXvgh5qZVX3cWfFxvTNM7,5000000000.0
1BW7RbjfVmaaNQCAvipfAfbGEaFSJY5vFk,1ECYAErbMXq3D78tabZx3wVqELGRhxHm4A,5000000000.0
1JLegvqUSgA16PFKdcFdKCddVZAdzpy6iU,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
13dKdUMMtwvdV72hsX681ZwyRgKhpqrfEG,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1EgqrKcMdps9YVchKF5NMpez8N8FGvB77A,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,5000000000.0
13Fns9ziAvi7ehujCHWXz9L6FL1PT7iV8T,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1JBkbTMdCP9n5VdQnpGkojQhnUKvacXT5M,1Q9tEEVTimwGnpYzRf6b2vhdaZz9sG8WNy,5000000000.0
1576DM2A2W79MJaY93P4XFELrPikjL49sz,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1H36WF154Xx46RCexbDpVhMwUEnVLf81Mh,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1DRZbiCHPeLYsn1iMMpiZDVjZN3WCTdqeu,12cdUGR5d5BozFmWiTDo9qe6xYvof9QEU4,100000000.0
175RdrdyArsXXAtLpfKU1QLUGYPacPfVfs,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
1G4BEhvDTz1xRE8QTotgyJTjWUexo95ATn,1PyNKEyqtDFB4HBG8ueDVxdPZfgwC6gAqw,1000000.0
18CeVokRo7jqvEH6FaStpU8kgYgf23CSQD,13ucPR8k54JbTBuWUAvRVGDswcE7jh2MC1,5000000000.0
1QH5mBFZ4hCM1Jdtt2R7yFocoi55SHopf,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
1MTyQdFz8L1akdQzQGhuv4eLNu8DZpVPZ,16a3Q6sWBtkvbJFmzDFgA6mboaZ93qKoqV,5000000000.0
19tZPNG5CciGbGNq2xKNcLzNkhHA7KCMJb,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1NtCYsFDRyQKtC7mcFHBde7jvG6s2AHLZ5,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
